Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Consorci Casa ÀsiaMembre en representació de la Generalitat de CatalunyaPresident de la Generalitat de Catalunya;Consorci Casa Àsia;UEX - Departament d'Unió Europea i Acció Exterior;Membre en representació de la Generalitat de Catalunya;President/a;President de la Generalitat de Catalunya;President de la Generalitat de Catalunya;15006;Govern de la Generalitat de Catalunya;President de la Generalitat;Salvador Illa Roca;
Consorci del Palau de la Música CatalanaMolt Honorable President de la GeneralitatPresident de la Generalitat de Catalunya;Consorci del Palau de la Música Catalana;CLT - Departament de Cultura;Molt Honorable President de la Generalitat;President/a;President de la Generalitat de Catalunya;President de la Generalitat de Catalunya;15006;;President de la Generalitat;Salvador Illa Roca;
Patronat de la Muntanya de MontserratEl/la President/a del patronat que serà el/la president de la Generalitat de CatalunyaPresident de la Generalitat de Catalunya;Patronat de la Muntanya de Montserrat;PRE - Departament de la Presidència;El/la President/a del patronat que serà el/la president de la Generalitat de Catalunya;President/a;President de la Generalitat de Catalunya;President de la Generalitat de Catalunya;15006;;President de la Generalitat;Salvador Illa Roca;
Consorci de l'Institut Ramon LlullLa presidència que correspon al president/a de la Generalitat o en qui deleguiPresident de la Generalitat de Catalunya;Consorci de l'Institut Ramon Llull;CLT - Departament de Cultura;La presidència que correspon al president/a de la Generalitat o en qui delegui;President/a;President de la Generalitat de Catalunya;President de la Generalitat de Catalunya;15006;;President de la Generalitat;Salvador Illa Roca;
Consorci Porta Diagonal - Campus ClínicPersona titular de la presidència de l'AGC, que exerceix la presidència del Consell GeneralPresident de la Generalitat de Catalunya;Consorci Porta Diagonal - Campus Clínic;PRE - Departament de la Presidència;Persona titular de la presidència de l'AGC, que exerceix la presidència del Consell General;President/a;President de la Generalitat de Catalunya;President de la Generalitat de Catalunya;15006;Govern de la Generalitat de Catalunya;President de la Generalitat;Salvador Illa Roca;
Institut Català del Sòl (INCASÒL)President/a que és el/la titular del departament competent en matèria de territori i obres públiquesConsellera de Territori, Habitatge i Transició Ecològica;Institut Català del Sòl (INCASÒL);TER - Departament de Territori, Habitatge i Transició Ecològica;President/a que és el/la titular del departament competent en matèria de territori i obres públiques;President/a;Consellera de Territori, Habitatge i Transició Ecològica;consellera de Territori, Habitatge i Transició Ecològica;3392;El president de la Generalitat de Catalunya;consellera de Territori, Habitatge i Transició Ecològica;Silvia Paneque Sureda;
Consorci Alta Velocitat BarcelonaVicepresident (Conseller del Departament de Territori)Consellera de Territori, Habitatge i Transició Ecològica;Consorci Alta Velocitat Barcelona;TER - Departament de Territori, Habitatge i Transició Ecològica;Vicepresident (Conseller del Departament de Territori);Vicepresident/a;Consellera de Territori, Habitatge i Transició Ecològica;consellera de Territori, Habitatge i Transició Ecològica;3392;President de la Generalitat de Catalunya;consellera de Territori, Habitatge i Transició Ecològica;Silvia Paneque Sureda;
Centre Internacional de Mètodes Numèrics a l’Enginyeria (CIMNE)La Presidència que correspon al/a la titutar del depart. competent en infraestructures i mobilitatConsellera de Territori, Habitatge i Transició Ecològica;Centre Internacional de Mètodes Numèrics a l’Enginyeria (CIMNE);TER - Departament de Territori, Habitatge i Transició Ecològica;La Presidència que correspon al/a la titutar del depart. competent en infraestructures i mobilitat;President/a;Consellera de Territori, Habitatge i Transició Ecològica;consellera de Territori, Habitatge i Transició Ecològica;3392;President de la Generalitat de Cataluinya;consellera de Territori, Habitatge i Transició Ecològica;Silvia Paneque Sureda;
Institut Cartogràfic i Geològic de CatalunyaLa presidència - persona titular dept. comp. política territorial, urbanisme i obra públicaConsellera de Territori, Habitatge i Transició Ecològica;Institut Cartogràfic i Geològic de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;La presidència - persona titular dept. comp. política territorial, urbanisme i obra pública;President/a;Consellera de Territori, Habitatge i Transició Ecològica;consellera de Territori, Habitatge i Transició Ecològica;3392;President de la Generalitat de Catalunya;consellera de Territori, Habitatge i Transició Ecològica;Silvia Paneque Sureda;
Fundació Observatori de l'EbreAdm.,Gene, persona titular del dep. competent en política territorial que exercirà la PresidènciaConsellera de Territori, Habitatge i Transició Ecològica;Fundació Observatori de l'Ebre;REU - Departament de Recerca i Universitats;Adm.,Gene, persona titular del dep. competent en política territorial que exercirà la Presidència;President/a;Consellera de Territori, Habitatge i Transició Ecològica;consellera de Territori, Habitatge i Transició Ecològica;3392;President de la Generalitat de Catalunya;consellera de Territori, Habitatge i Transició Ecològica;Silvia Paneque Sureda;
